match_type,confidence_score,date_bank,date_check,amount,amount_bank,amount_check,description_bank,description_check,transaction_id_bank,transaction_id_check
Phase 1: Deterministic (Unique Amount),,2023-07-29 00:00:00,2023-07-28 00:00:00,89.5,,,DINER #4763,Dinner out,B0154,R0154
Phase 1: Deterministic (Unique Amount),,2023-07-30 00:00:00,2023-07-30 00:00:00,606.93,,,ONLINE TRANSFER,Moved to savings,B0040,R0040
Phase 1: Deterministic (Unique Amount),,2023-07-30 00:00:00,2023-07-30 00:00:00,496.62,,,MISC TRANSACTION 2409,Other expense,B0306,R0306
Phase 1: Deterministic (Unique Amount),,2023-08-02 00:00:00,2023-07-28 00:00:00,234.3,,,CK #9352,Check payment,B0243,R0243
Phase 1: Deterministic (Unique Amount),,2023-08-03 00:00:00,2023-08-01 00:00:00,96.01,,,CAFE #6675,Eating out,B0058,R0058
Phase 1: Deterministic (Unique Amount),,2023-08-03 00:00:00,2023-08-02 00:00:00,57.39,,,DINER #6592,Dinner out,B0138,R0138
Phase 1: Deterministic (Unique Amount),,2023-08-04 00:00:00,2023-08-03 00:00:00,221.93,,,ONLINE PMT WATER,Electric bill,B0062,R0062
Phase 1: Deterministic (Unique Amount),,2023-08-05 00:00:00,2023-08-04 00:00:00,102.1,,,WHOLE FOODS #8849,Weekly groceries,B0024,R0024
Phase 1: Deterministic (Unique Amount),,2023-08-05 00:00:00,2023-08-05 00:00:00,1939.96,,,ACH TRANSFER,Transfer,B0134,R0134
Phase 1: Deterministic (Unique Amount),,2023-08-08 00:00:00,2023-08-08 00:00:00,169.84,,,TRADER JOES,Groceries,B0136,R0136
Phase 1: Deterministic (Unique Amount),,2023-08-08 00:00:00,2023-08-04 00:00:00,217.21,,,AMAZON.COM,Online shopping,B0144,R0144
Phase 1: Deterministic (Unique Amount),,2023-08-08 00:00:00,2023-08-08 00:00:00,184.52,,,ONLINE PMT GAS CO,Gas bill,B0170,R0170
Phase 1: Deterministic (Unique Amount),,2023-08-11 00:00:00,2023-08-09 00:00:00,131.33,,,WHOLE FOODS #8339,Grocery store,B0272,R0272
Phase 1: Deterministic (Unique Amount),,2023-08-13 00:00:00,2023-08-11 00:00:00,170.39,,,WHOLE FOODS #2267,Grocey store,B0033,R0033
Phase 1: Deterministic (Unique Amount),,2023-08-14 00:00:00,2023-08-13 00:00:00,57.21,,,BISTRO #4510,Restaurant,B0177,R0177
Phase 1: Deterministic (Unique Amount),,2023-08-15 00:00:00,2023-08-14 00:00:00,408.05,,,AUTO INS,Health insurance,B0082,R0082
Phase 1: Deterministic (Unique Amount),,2023-08-16 00:00:00,2023-08-16 00:00:00,419.78,,,INSURANCE PMT,Insurance payment,B0128,R0128
Phase 1: Deterministic (Unique Amount),,2023-08-16 00:00:00,2023-08-16 00:00:00,79.52,,,BISTRO #9004,Restaurant,B0183,R0183
Phase 1: Deterministic (Unique Amount),,2023-08-16 00:00:00,2023-08-11 00:00:00,250.53,,,CHECK #642,Check #6442,B0296,R0296
Phase 1: Deterministic (Unique Amount),,2023-08-18 00:00:00,2023-08-15 00:00:00,261.31,,,AMAZON.COM,Online shopping,B0149,R0149
Phase 1: Deterministic (Unique Amount),,2023-08-18 00:00:00,2023-08-18 00:00:00,1114.62,,,ACH TRANSFER,Transfer,B0161,R0161
Phase 1: Deterministic (Unique Amount),,2023-08-19 00:00:00,2023-08-18 00:00:00,65.07,,,BP GAS #2021,Fill up,B0054,R0054
Phase 1: Deterministic (Unique Amount),,2023-08-21 00:00:00,2023-08-19 00:00:00,718.65,,,CHECK #6258,Check #6258,B0085,R0085
Phase 1: Deterministic (Unique Amount),,2023-08-23 00:00:00,2023-08-22 00:00:00,46.59,,,online order #8392,Online purchase,B0169,R0169
Phase 1: Deterministic (Unique Amount),,2023-08-23 00:00:00,2023-08-22 00:00:00,1144.48,,,ONLINE TRANSFER,Moved to savings,B0297,R0297
Phase 1: Deterministic (Unique Amount),,2023-08-24 00:00:00,2023-08-24 00:00:00,34.33,,,MAINT FEE,Monthly charge,B0005,R0005
Phase 1: Deterministic (Unique Amount),,2023-08-24 00:00:00,2023-08-22 00:00:00,195.9,,,HEALTH INS PMT,Health insurance,B0069,R0069
Phase 1: Deterministic (Unique Amount),,2023-08-24 00:00:00,2023-08-21 00:00:00,40.12,,,AMAZON.COM,Online shopping,B0145,R0145
Phase 1: Deterministic (Unique Amount),,2023-08-25 00:00:00,2023-08-24 00:00:00,98.92,,,BISTRO #2636,Lunch,B0162,R0162
Phase 1: Deterministic (Unique Amount),,2023-08-27 00:00:00,2023-08-25 00:00:00,86.63,,,DINER #7015,Eating out,B0249,R0249
Phase 1: Deterministic (Unique Amount),,2023-08-28 00:00:00,2023-08-28 00:00:00,73.86,,,KROGER #2484,GROCERY STORE,B0115,R0115
Phase 1: Deterministic (Unique Amount),,2023-08-29 00:00:00,2023-08-26 00:00:00,232.79,,,KROGER #6892,Weekly groceries,B0089,R0089
Phase 1: Deterministic (Unique Amount),,2023-08-29 00:00:00,2023-08-24 00:00:00,653.81,,,CHECK #9164,Check #9164,B0167,R0167
Phase 1: Deterministic (Unique Amount),,2023-08-29 00:00:00,2023-08-28 00:00:00,32.86,,,SERVICE CHARGE,Bank fee,B0250,R0250
Phase 1: Deterministic (Unique Amount),,2023-08-30 00:00:00,2023-08-30 00:00:00,89.71,,,CAFE #3049,Eating out,B0218,R0218
Phase 1: Deterministic (Unique Amount),,2023-08-30 00:00:00,2023-08-30 00:00:00,3074.18,,,DIRECT DEP PAYROLL,Monthly salary,B0234,R0234
Phase 1: Deterministic (Unique Amount),,2023-08-31 00:00:00,2023-08-31 00:00:00,61.35,,,BP GAS #9226,Gas,B0048,R0048
Phase 1: Deterministic (Unique Amount),,2023-08-31 00:00:00,2023-08-29 00:00:00,75.44,,,DINER #9684,Restaurant,B0075,R0075
Phase 1: Deterministic (Unique Amount),,2023-08-31 00:00:00,2023-08-29 00:00:00,68.41,,,CAFE #6759,Restaurant,B0205,R0205
Phase 1: Deterministic (Unique Amount),,2023-09-01 00:00:00,2023-08-29 00:00:00,28.27,,,EBAY PURCHASE,Online purchase,B0262,R0262
Phase 1: Deterministic (Unique Amount),,2023-09-02 00:00:00,2023-09-02 00:00:00,65.24,,,BP GAS #6423,GAS,B0219,R0219
Phase 1: Deterministic (Unique Amount),,2023-09-02 00:00:00,2023-09-01 00:00:00,138.27,,,TRADER JOES,Weekly groceries,B0228,R0228
Phase 1: Deterministic (Unique Amount),,2023-09-03 00:00:00,2023-09-02 00:00:00,175.28,,,ONLINE PMT WATER,Water bill,B0214,R0214
Phase 1: Deterministic (Unique Amount),,2023-09-03 00:00:00,2023-09-02 00:00:00,187.6,,,KROGER #4987,Food shopping,B0248,R0248
Phase 1: Deterministic (Unique Amount),,2023-09-03 00:00:00,2023-09-01 00:00:00,81.42,,,TRADER JOES,Grocery store,B0275,R0275
Phase 1: Deterministic (Unique Amount),,2023-09-04 00:00:00,2023-09-02 00:00:00,256.47,,,ONLINE ORDER #4627,Online shopping,B0135,R0135
Phase 1: Deterministic (Unique Amount),,2023-09-05 00:00:00,2023-09-04 00:00:00,52.42,,,BP GAS #1878,Gas station,B0070,R0070
Phase 1: Deterministic (Unique Amount),,2023-09-05 00:00:00,2023-09-05 00:00:00,102.72,,,ATM WITHDRAWAL #1190,Cash withdrawal,B0284,R0284
Phase 1: Deterministic (Unique Amount),,2023-09-08 00:00:00,2023-09-07 00:00:00,71.21,,,SHELL #4556,Fill up,B0035,R0035
Phase 1: Deterministic (Unique Amount),,2023-09-09 00:00:00,2023-09-09 00:00:00,1758.17,,,ACH TRANSFER,Moved to savings,B0079,R0079
Phase 1: Deterministic (Unique Amount),,2023-09-09 00:00:00,2023-09-09 00:00:00,58.8,,,BISTRO #6600,Lunch,B0266,R0266
Phase 1: Deterministic (Unique Amount),,2023-09-11 00:00:00,2023-09-09 00:00:00,145.49,,,AMAZON.COM,Online shopping,B0273,R0273
Phase 1: Deterministic (Unique Amount),,2023-09-13 00:00:00,2023-09-11 00:00:00,149.32,,,KROGER #4104,Weekly groceries,B0095,R0095
Phase 1: Deterministic (Unique Amount),,2023-09-15 00:00:00,2023-09-13 00:00:00,93.0,,,TRADER JOES,Grocery store,B0240,R0240
Phase 1: Deterministic (Unique Amount),,2023-09-15 00:00:00,2023-09-13 00:00:00,208.73,,,ATM WITHDRAWAL #7893,Cash withdrawal,B0257,R0257
Phase 1: Deterministic (Unique Amount),,2023-09-17 00:00:00,2023-09-15 00:00:00,58.56,,,ONLINE ORDER #6051,Online purchase,B0016,R0016
Phase 1: Deterministic (Unique Amount),,2023-09-17 00:00:00,2023-09-16 00:00:00,2525.3,,,ACH CREDIT SALARY,Paycheck,B0068,R0068
Phase 1: Deterministic (Unique Amount),,2023-09-17 00:00:00,2023-09-16 00:00:00,102.95,,,DINER #3454,Eating out,B0097,R0097
Phase 1: Deterministic (Unique Amount),,2023-09-19 00:00:00,2023-09-16 00:00:00,130.74,,,KROGER #6854,Weekly groceries,B0293,R0293
Phase 1: Deterministic (Unique Amount),,2023-09-21 00:00:00,2023-09-20 00:00:00,111.02,,,MISC TRANSACTION 1154,Other expense,B0305,R0305
Phase 1: Deterministic (Unique Amount),,2023-09-23 00:00:00,2023-09-18 00:00:00,145.2,,,CHECK #8555,Check #8555,B0052,R0052
Phase 1: Deterministic (Unique Amount),,2023-09-23 00:00:00,2023-09-23 00:00:00,946.98,,,XFER TO SAVINGS,Internal transfer,B0283,R0283
Phase 1: Deterministic (Unique Amount),,2023-09-24 00:00:00,2023-09-22 00:00:00,132.86,,,ONLINE ORDER #3869,Online purchase,B0241,R0241
Phase 1: Deterministic (Unique Amount),,2023-09-26 00:00:00,2023-09-25 00:00:00,70.57,,,EXXON #8158,Gas staton,B0222,R0222
Phase 1: Deterministic (Unique Amount),,2023-09-27 00:00:00,2023-09-27 00:00:00,3280.91,,,DIRECT DEPOSIT,Monthly salary,B0171,R0171
Phase 1: Deterministic (Unique Amount),,2023-09-28 00:00:00,2023-09-28 00:00:00,94.15,,,RESTAURANT #1098,Dinner out,B0236,R0236
Phase 1: Deterministic (Unique Amount),,2023-09-30 00:00:00,2023-09-26 00:00:00,318.59,,,MISC TRANSACTION 2686,Other expense,B0302,R0302
Phase 1: Deterministic (Unique Amount),,2023-10-01 00:00:00,2023-09-30 00:00:00,273.47,,,ONLINE ORDER #5297,Amazon order,B0060,R0060
Phase 1: Deterministic (Unique Amount),,2023-10-01 00:00:00,2023-09-28 00:00:00,346.88,,,CK #3062,Paid by check,B0078,R0078
Phase 1: Deterministic (Unique Amount),,2023-10-01 00:00:00,2023-09-30 00:00:00,48.16,,,SUBSCRIPTION #4840,Music subscription,B0103,R0103
Phase 1: Deterministic (Unique Amount),,2023-10-01 00:00:00,2023-09-29 00:00:00,112.73,,,BISTRO #1606,Dinner out,B0280,R0280
Phase 1: Deterministic (Unique Amount),,2023-10-02 00:00:00,2023-09-30 00:00:00,341.45,,,INSURANCE PMT,Health insurance,B0281,R0281
Phase 1: Deterministic (Unique Amount),,2023-10-03 00:00:00,2023-10-03 00:00:00,1547.53,,,XFER TO SAVINGS,Transfer,B0229,R0229
Phase 1: Deterministic (Unique Amount),,2023-10-04 00:00:00,2023-10-03 00:00:00,191.15,,,TRADER JOES,Weekly groceries,B0019,R0019
Phase 1: Deterministic (Unique Amount),,2023-10-05 00:00:00,2023-10-05 00:00:00,152.41,,,WHOLE FOODS #9050,Groceries,B0254,R0254
Phase 1: Deterministic (Unique Amount),,2023-10-05 00:00:00,2023-10-05 00:00:00,97.2,,,CAFE #3733,Eating out,B0298,R0298
Phase 1: Deterministic (Unique Amount),,2023-10-06 00:00:00,2023-10-05 00:00:00,23.3,,,MONTHLY FEE,Monthly charge,B0237,R0237
Phase 1: Deterministic (Unique Amount),,2023-10-07 00:00:00,2023-10-02 00:00:00,298.4,,,CHECK #6390,Check payment,B0003,R0003
Phase 1: Deterministic (Unique Amount),,2023-10-07 00:00:00,2023-10-05 00:00:00,209.29,,,ONLINE ORDER #3327,Online shopping,B0277,R0277
Phase 1: Deterministic (Unique Amount),,2023-10-08 00:00:00,2023-10-05 00:00:00,123.56,,,EBAY PURCHASE,Online shopping,B0129,R0129
Phase 1: Deterministic (Unique Amount),,2023-10-09 00:00:00,2023-10-09 00:00:00,68.21,,,DINER #7184,Dinner out,B0091,R0091
Phase 1: Deterministic (Unique Amount),,2023-10-10 00:00:00,2023-10-09 00:00:00,202.4,,,WHOLE FOODS #5282,Groceries,B0191,R0191
Phase 1: Deterministic (Unique Amount),,2023-10-11 00:00:00,2023-10-11 00:00:00,112.61,,,ONLINE PMT GAS CO,Gas bill,B0046,R0046
Phase 1: Deterministic (Unique Amount),,2023-10-12 00:00:00,2023-10-11 00:00:00,394.11,,,ONLINE TRANSFER,Internal transfer,B0027,R0027
Phase 1: Deterministic (Unique Amount),,2023-10-12 00:00:00,2023-10-12 00:00:00,167.83,,,ONLINE PMT ELEC CO,Utilities,B0073,R0073
Phase 1: Deterministic (Unique Amount),,2023-10-14 00:00:00,2023-10-13 00:00:00,73.0,,,EXXON #4073,Fill up,B0053,R0053
Phase 1: Deterministic (Unique Amount),,2023-10-14 00:00:00,2023-10-12 00:00:00,151.63,,,EBAY PURCHASE,Online shoppng,B0247,R0247
Phase 1: Deterministic (Unique Amount),,2023-10-15 00:00:00,2023-10-12 00:00:00,275.85,,,AMAZON.COM,Online purchase,B0117,R0117
Phase 1: Deterministic (Unique Amount),,2023-10-17 00:00:00,2023-10-15 00:00:00,100.29,,,RESTAURANT #1502,Eating out,B0106,R0106
Phase 1: Deterministic (Unique Amount),,2023-10-19 00:00:00,2023-10-19 00:00:00,72.43,,,DINER #5735,Restaurant,B0252,R0252
Phase 1: Deterministic (Unique Amount),,2023-10-20 00:00:00,2023-10-18 00:00:00,291.8,,,AUTO INS,Insurance payment,B0022,R0022
Phase 1: Deterministic (Unique Amount),,2023-10-20 00:00:00,2023-10-17 00:00:00,92.88,,,WHOLE FOODS #3731,Grocery store,B0099,R0099
Phase 1: Deterministic (Unique Amount),,2023-10-20 00:00:00,2023-10-19 00:00:00,185.49,,,TRADER JOES,Grocery store,B0271,R0271
Phase 1: Deterministic (Unique Amount),,2023-10-21 00:00:00,2023-10-21 00:00:00,16.54,,,MONTHLY FEE,Bank fee,B0226,R0226
Phase 1: Deterministic (Unique Amount),,2023-10-22 00:00:00,2023-10-22 00:00:00,15.0,,,SPOTIFY,Monthly subscription,B0190,R0190
Phase 1: Deterministic (Unique Amount),,2023-10-24 00:00:00,2023-10-24 00:00:00,1470.66,,,ONLINE TRANSFER,Internal transfer,B0208,R0208
Phase 1: Deterministic (Unique Amount),,2023-10-25 00:00:00,2023-10-23 00:00:00,52.84,,,TRADER JOES,Grocery store,B0043,R0043
Phase 1: Deterministic (Unique Amount),,2023-10-26 00:00:00,2023-10-25 00:00:00,59.39,,,CAE #1769,Eating out,B0012,R0012
Phase 1: Deterministic (Unique Amount),,2023-10-26 00:00:00,2023-10-23 00:00:00,281.39,,,ONLINE ORDER #5658,Online shopping,B0030,R0030
Phase 1: Deterministic (Unique Amount),,2023-10-26 00:00:00,2023-10-26 00:00:00,219.66,,,AUTO INS,Car insurance,B0107,R0107
Phase 1: Deterministic (Unique Amount),,2023-10-27 00:00:00,2023-10-27 00:00:00,1727.79,,,ACH TRANSFER,Moved to savings,B0057,R0057
Phase 1: Deterministic (Unique Amount),,2023-10-28 00:00:00,2023-10-26 00:00:00,84.1,,,ONLINE ORDER #9815,Amazon order,B0217,R0217
Phase 1: Deterministic (Unique Amount),,2023-10-29 00:00:00,2023-10-28 00:00:00,34.51,,,SERVICE CHARGE,Bank fee,B0077,R0077
Phase 1: Deterministic (Unique Amount),,2023-10-29 00:00:00,2023-10-28 00:00:00,44.43,,,SUBSCRIPTION #8455,Streaming service,B0300,R0300
Phase 1: Deterministic (Unique Amount),,2023-10-30 00:00:00,2023-10-29 00:00:00,206.55,,,AMAZON.COM,Online shopping,B0292,R0292
Phase 1: Deterministic (Unique Amount),,2023-11-04 00:00:00,2023-11-02 00:00:00,816.6,,,CHECK #7863,Check #7863,B0067,R0067
Phase 1: Deterministic (Unique Amount),,2023-11-05 00:00:00,2023-11-04 00:00:00,200.84,,,SAFEWAY #4748,Weekly groceries,B0148,R0148
Phase 1: Deterministic (Unique Amount),,2023-11-05 00:00:00,2023-11-03 00:00:00,65.48,,,DINER #5218,Eating out,B0179,R0179
Phase 1: Deterministic (Unique Amount),,2023-11-06 00:00:00,2023-11-05 00:00:00,27.46,,,RESTAURANT #1391,Restaurant,B0088,R0088
Phase 1: Deterministic (Unique Amount),,2023-11-07 00:00:00,2023-11-07 00:00:00,54.7,,,DINER #2986,Eating out,B0197,R0197
Phase 1: Deterministic (Unique Amount),,2023-11-08 00:00:00,2023-11-07 00:00:00,12.78,,,SERVICE CHARGE,Bank fee,B0168,R0168
Phase 1: Deterministic (Unique Amount),,2023-11-10 00:00:00,2023-11-08 00:00:00,187.27,,,SAFEWAY #8777,Groceres,B0185,R0185
Phase 1: Deterministic (Unique Amount),,2023-11-12 00:00:00,2023-11-11 00:00:00,19.92,,,NETFLIX,Gym,B0199,R0199
Phase 1: Deterministic (Unique Amount),,2023-11-12 00:00:00,2023-11-08 00:00:00,202.9,,,EBAY PURCHASE,Amazon order,B0256,R0256
Phase 1: Deterministic (Unique Amount),,2023-11-13 00:00:00,2023-11-13 00:00:00,1380.54,,,XFER TO SAVINGS,Moved to savings,B0139,R0139
Phase 1: Deterministic (Unique Amount),,2023-11-13 00:00:00,2023-11-12 00:00:00,4096.11,,,DIRECT DEP PAYROLL,Income,B0267,R0267
Phase 1: Deterministic (Unique Amount),,2023-11-14 00:00:00,2023-11-12 00:00:00,39.68,,,CAFE #9792,lunch,B0039,R0039
Phase 1: Deterministic (Unique Amount),,2023-11-19 00:00:00,2023-11-19 00:00:00,12.71,,,NETFLIX,Monthly subscription,B0255,R0255
Phase 1: Deterministic (Unique Amount),,2023-11-24 00:00:00,2023-11-20 00:00:00,250.69,,,AMAZON.COM,Online shopping,B0224,R0224
Phase 1: Deterministic (Unique Amount),,2023-11-25 00:00:00,2023-11-24 00:00:00,21.52,,,SERVICE CHARGE,Bank fee,B0253,R0253
Phase 1: Deterministic (Unique Amount),,2023-11-27 00:00:00,2023-11-24 00:00:00,145.31,,,AMAZON.COM,Amazon order,B0031,R0031
Phase 1: Deterministic (Unique Amount),,2023-11-27 00:00:00,2023-11-27 00:00:00,3730.02,,,ACH CREDIT SALARY,Paycheck,B0151,R0151
Phase 1: Deterministic (Unique Amount),,2023-11-27 00:00:00,2023-11-24 00:00:00,599.42,,,CHECK #7709,Check payment,B0294,R0294
Phase 1: Deterministic (Unique Amount),,2023-11-28 00:00:00,2023-11-26 00:00:00,648.22,,,CHECK #5426,Check payment,B0008,R0008
Phase 1: Deterministic (Unique Amount),,2023-11-29 00:00:00,2023-11-28 00:00:00,4082.76,,,ACH CREDIT SALARY,Monthly salary,B0166,R0166
Phase 1: Deterministic (Unique Amount),,2023-12-02 00:00:00,2023-11-30 00:00:00,365.64,,,MISC TRANSACTION 1784,Other expense,B0307,R0307
Phase 1: Deterministic (Unique Amount),,2023-12-04 00:00:00,2023-12-02 00:00:00,217.72,,,whole foods #3811,Groceries,B0194,R0194
Phase 1: Deterministic (Unique Amount),,2023-12-11 00:00:00,2023-12-09 00:00:00,88.87,,,DINER #8858,Dinner out,B0116,R0116
Phase 1: Deterministic (Unique Amount),,2023-12-13 00:00:00,2023-12-11 00:00:00,89.67,,,DINER #7616,Eating out,B0212,R0212
Phase 1: Deterministic (Unique Amount),,2023-12-15 00:00:00,2023-12-12 00:00:00,167.26,,,KROGER #7949,Grocery store,B0013,R0013
Phase 1: Deterministic (Unique Amount),,2023-12-15 00:00:00,2023-12-13 00:00:00,52.07,,,ATM 3433 CASH,Withdrew cash,B0014,R0014
Phase 1: Deterministic (Unique Amount),,2023-12-15 00:00:00,2023-12-13 00:00:00,194.05,,,ONLINE ORDER #6977,Amazon order,B0112,R0112
Phase 1: Deterministic (Unique Amount),,2023-12-19 00:00:00,2023-12-17 00:00:00,210.12,,,AMAZON.COM,Amazon order,B0009,R0009
Phase 1: Deterministic (Unique Amount),,2023-12-20 00:00:00,2023-12-20 00:00:00,63.99,,,BISTRO #9155,Dinner out,B0210,R0210
Phase 1: Deterministic (Unique Amount),,2023-12-23 00:00:00,2023-12-19 00:00:00,182.39,,,EBAY PURCHASE,Online purchase,B0119,R0119
Phase 1: Deterministic (Unique Amount),,2023-12-24 00:00:00,2023-12-20 00:00:00,51.75,,,AMAZON.COM,Online shopping,B0156,R0156
Phase 1: Deterministic (Unique Amount),,2023-12-25 00:00:00,2023-12-24 00:00:00,240.25,,,ONLINE PMT GAS O,Utilities,B0087,R0087
Phase 1: Deterministic (Unique Amount),,2023-12-26 00:00:00,2023-12-26 00:00:00,1720.31,,,XFER TO SAVINGS,Internal transfer,B0130,R0130
Phase 2: ML Semantic Match,0.5674661444664002,2023-03-13,2023-03-12,,207.03,207.04,TRADER JOES,Weekly groceries,B0188,R0188
Phase 2: ML Semantic Match,0.5345886472940424,2023-05-07,2023-05-06,,1762.14,1762.12,ONLINE TRANSFER,Move to savings,B0299,R0299
Phase 2: ML Semantic Match,0.5486663868589717,2023-05-27,2023-05-25,,221.74,221.76,TRADER JOES,Groceries,B0176,R0176
Phase 2: ML Semantic Match,0.5170726294517516,2023-06-04,2023-06-03,,60.73,60.78,EXXON #2678,Fill up,B0127,R0127
Phase 2: ML Semantic Match,0.5559025692436721,2023-07-05,2023-07-05,,38.17,38.14,GYM MEMBERSHIP,Music subscription,B0006,R0006
Phase 2: ML Semantic Match,0.7017577409744262,2023-08-01,2023-07-31,,57.56,57.56,BP GAS #5199,Gas,B0232,R0232
Phase 2: ML Semantic Match,0.7459541322561413,2023-08-20,2023-08-16,,160.46,160.48,CHECK #3975,Check #3975,B0286,R0286
Phase 2: ML Semantic Match,0.5842010859175044,2023-09-02,2023-08-31,,236.84,236.83,KROGER #3255,Grocery store,B0225,R0225
Phase 2: ML Semantic Match,0.5173164205236749,2023-11-12,2023-11-10,,105.05,105.05,BISTRO #7694,Restaurant,B0206,R0206
Phase 2: ML Semantic Match,0.750906217098236,2023-11-26,2023-11-25,,192.86,192.86,HEALTH INS PMT,Health insurance,B0011,R0011
Phase 2: ML Semantic Match,0.6774757888290908,2023-12-09,2023-12-09,,57.56,57.56,BP GAS #8869,Gas station,B0064,R0064
Phase 2: ML Semantic Match,0.792339866065979,2023-12-11,2023-12-10,,84.75,84.74,ONLINE ORDER #5973,Amazon order,B0239,R0239
